day,Acorn,file,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
2011-12-03,ACORN-A,block_0,0.115,0.30023333333333324,1.179,30,0.36123091128026097,9.006999999999998,0.047
2011-12-04,ACORN-A,block_0,0.175,0.4325625041666667,1.914,48,0.484151596297421,20.763000199999997,0.026
2011-12-05,ACORN-A,block_0,0.078,0.12541666666666665,0.934,48,0.15332677290930027,6.02,0.025
2011-12-06,ACORN-A,block_0,0.114,0.27754166875,1.216,48,0.3133986676490825,13.322000099999999,0.027000000000000003
2011-12-07,ACORN-A,block_0,0.1035,0.1887916666666667,0.873,48,0.20961301306986396,9.062,0.026
2011-12-08,ACORN-A,block_0,0.08900000000000001,0.2846666645833333,1.6569999,48,0.3663321476300357,13.6639999,0.025
2011-12-09,ACORN-A,block_0,0.1035,0.24616666875,1.29,48,0.3045569803736673,11.816000099999998,0.05
2011-12-10,ACORN-A,block_0,0.1205,0.3387083312500001,1.1799999,48,0.3363907855522098,16.257999900000005,0.054000000000000006
2011-12-11,ACORN-A,block_0,0.106,0.2265,1.278,48,0.29407778678582824,10.872,0.026
2011-12-12,ACORN-A,block_0,0.07600000000000001,0.20485417083333332,1.104,48,0.2904250116868351,9.833000199999999,0.031
2011-12-13,ACORN-A,block_0,0.0845,0.16289583333333332,0.987,48,0.2012354648731059,7.819,0.027000000000000003
2011-12-14,ACORN-A,block_0,0.0765,0.1568125,1.034,48,0.2148309237467277,7.526999999999999,0.037000000000000005
2011-12-15,ACORN-A,block_0,0.113,0.2897083333333334,1.15,48,0.3129832405501103,13.906000000000004,0.045
2011-12-16,ACORN-A,block_0,0.083,0.22102083333333336,1.01,48,0.2566115940386082,10.609000000000002,0.041
2011-12-17,ACORN-A,block_0,0.2145,0.4164166687500001,1.405,48,0.41298317460403705,19.988000100000004,0.073
2011-12-18,ACORN-A,block_0,0.314,0.4491875,1.35,48,0.416506884556521,21.561,0.026
2011-12-19,ACORN-A,block_0,0.07250000000000001,0.12402083333333334,0.462,48,0.123763241644155,5.953000000000002,0.041
2011-12-20,ACORN-A,block_0,0.11,0.24937499999999996,1.104,48,0.27079800315112795,11.969999999999995,0.027000000000000003
2011-12-21,ACORN-A,block_0,0.077,0.1663958333333333,0.948,48,0.2276891067749435,7.986999999999997,0.033
2011-12-22,ACORN-A,block_0,0.084,0.19497916666666668,1.266,48,0.2506623981665578,9.359,0.043
2011-12-23,ACORN-A,block_0,0.0795,0.27295833333333336,1.192,48,0.327438476165766,13.102000000000002,0.032
2011-12-24,ACORN-A,block_0,0.1095,0.2342083333333333,1.24,48,0.2689664978214845,11.242,0.051
2011-12-25,ACORN-A,block_0,0.0805,0.0820416666666667,0.218,48,0.02627105707268575,3.9380000000000015,0.045
2011-12-26,ACORN-A,block_0,0.1185,0.3973333354166666,1.5650001,48,0.4592344439089262,19.0720001,0.048
2011-12-27,ACORN-A,block_0,0.083,0.14325,1.057,48,0.19383174322295885,6.876,0.032
2011-12-28,ACORN-A,block_0,0.075,0.17779166666666668,0.939,48,0.2321202878125572,8.533999999999999,0.037000000000000005
2011-12-29,ACORN-A,block_0,0.1125,0.276875,1.072,48,0.2879415295994745,13.29,0.03
2011-12-30,ACORN-A,block_0,0.1015,0.35227083333333337,1.636,48,0.407255983046229,16.909000000000002,0.049
2011-12-31,ACORN-A,block_0,0.1315,0.3818124979166668,1.3,48,0.4079387508329128,18.326999900000004,0.049
2012-01-01,ACORN-A,block_0,0.28400000000000003,0.4699166645833334,1.6339999,48,0.4518767350715639,22.555999900000003,0.054000000000000006
2012-01-02,ACORN-A,block_0,0.105,0.21343750000000006,0.926,48,0.24170484077318666,10.245,0.026
2012-01-03,ACORN-A,block_0,0.0945,0.210375,1.365,48,0.27469167435043745,10.097999999999999,0.038
2012-01-04,ACORN-A,block_0,0.0905,0.13900000000000004,0.926,48,0.14816365304995144,6.6720000000000015,0.045
2012-01-05,ACORN-A,block_0,0.11699999999999999,0.25816666666666666,1.4579999,48,0.3392190230347539,12.392000000000001,0.06
2012-01-06,ACORN-A,block_0,0.076,0.20177083333333332,0.95,48,0.2752181525111147,9.685,0.04
2012-01-07,ACORN-A,block_0,0.1005,0.2677708333333333,1.034,48,0.2927375005659313,12.853,0.038
2012-01-08,ACORN-A,block_0,0.096,0.21452083333333336,1.045,48,0.2453330337094416,10.297000000000002,0.046
2012-01-09,ACORN-A,block_0,0.07500000000000001,0.2085,1.416,48,0.3148893084811624,10.008,0.031
2012-01-10,ACORN-A,block_0,0.098,0.21929166666666666,1.073,48,0.2581506205838007,10.526,0.028
2012-01-11,ACORN-A,block_0,0.071,0.1835,1.204,48,0.2528068811344663,8.808,0.035
2012-01-12,ACORN-A,block_0,0.0985,0.2461041666666667,1.3769999999999998,48,0.3257678483922244,11.813000000000002,0.039
2012-01-13,ACORN-A,block_0,0.08800000000000001,0.197125,0.957,48,0.2647404690587497,9.462,0.041
2012-01-14,ACORN-A,block_0,0.29500000000000004,0.4677499979166666,1.846,48,0.4491698932795068,22.4519999,0.027000000000000003
2012-01-15,ACORN-A,block_0,0.15650000000000006,0.34477083125,1.651,48,0.3663208769766666,16.548999900000002,0.044
2012-01-16,ACORN-A,block_0,0.09,0.1428541666666667,0.902,48,0.1653916035821075,6.857000000000001,0.038
2012-01-17,ACORN-A,block_0,0.14950000000000002,0.3052291666666666,1.163,48,0.3115427800672914,14.650999999999994,0.039
2012-01-18,ACORN-A,block_0,0.0675,0.09347916666666667,0.449,48,0.07956477077342053,4.487,0.033
